pmid,outcome,labels,full_text_attributes
34928484,"['Progression-free survival (PFS)', 'Treatment-emergent adverse events (AEs)', 'Clinical laboratory assessments']","['Mortality', 'Adverse Event', 'Clinical']","{'Treatment-emergent adverse events (AEs)': ['All patients reported at least one AE, the majority of which were grade 1–2 in severity', 'Hypertension, alanine aminotransferase (ALT) increased, aspartate aminotransferase (AST) increased, alopecia, proteinuria, epistaxis, and peripheral edema occurred in ≥ 20% of patients in the RAM+ERL arm with a ≥ 10% higher incidence than in the PBO + ERL arm', 'Grade ≥ 3 AEs were higher with RAM + ERL than with PBO + ERL, primarily driven by grade 3 hypertension', 'Hypertension, dermatitis acneiform, and diarrhea occurred at a ≥ 5% higher incidence with RAM + ERL than with PBO + ERL', 'Incidence of grade 4 events was low and similar between treatment arms (5% for RAM + ERL vs. 4% for PBO + ERL), most common being ALT increased and abnormal hepatic function', 'pneumonia', 'cellulitis', 'decreased appetite', 'diarrhea', 'Six deaths in the RAM + ERL arm and none in the PBO + ERL arm were due to adverse events during study treatment or within 30 days of treatment discontinuation', 'hypertension', 'proteinuria', 'bleeding/hemorrhage', 'liver failure/injury', 'Hypertension: any grade 45% vs 12%, grade ≥3 24% vs 5% (RAM + ERL vs PBO + ERL)', 'Hypertension: more patients in the RAM + ERL arm than in the PBO + ERL arm received supportive antihypertensive therapies (69 vs. 42%, respectively); a small proportion of patients (5%) had ramucirumab or placebo dose adjustments because of hypertension; one patient in each treatment arm discontinued ramucirumab (grade 2) or placebo (grade 3) alone because of hypertension', 'epistaxis', 'Proteinuria: incidence higher with RAM + ERL than PBO + ERL (34% vs. 8%), majority low grade, Grade ≥ 3 reported in 3% of patients all in RAM + ERL arm, only one patient experienced serious proteinuria, no nephrotic syndrome', 'Proteinuria was the most common AE leading to dose adjustments of ramucirumab (12%), with no dose adjustments occurring in the PBO + ERL arm.', 'Incidence of any-grade bleeding/hemorrhage: RAM + ERL 55%, PBO + ERL 26%', 'Incidence of grade ≥ 3 bleeding events: both treatment arms 2%', 'No grade 4 or 5 events occurred in either treatment arm', 'Any-grade pulmonary hemorrhage: 7% in RAM + ERL, 2% in PBO + ERL', 'Grade ≥ 3 pulmonary bleeding: ≤ 0.5%', 'Grade 1 hemoptysis: 5% in RAM + ERL, ≤ 0.5% in PBO + ERL', 'Grade 5 hemothorax: 1 case in RAM + ERL', 'SAEs were observed mainly as singular events in seven (RAM + ERL) and two (PBO + ERL) patients, with the exception of small intestinal hemorrhage reported in two patients in the RAM + ERL arm', 'Dose adjustments of ramucirumab or placebo for bleeding or hemorrhage were reported in 5 versus 2% of patients, respectively', 'Use of antihemorrhagic medications was greater in the RAM + ERL arm than in the PBO + ERL arm (14 vs. 6%). Additionally, 3% patients in the RAM + ERL arm only required a blood transfusion (packed red blood cells).', 'hepatic events', 'liver failure/liver injury', 'low-grade increase in ALT, AST, and serum bilirubin', 'any-grade hepatic events higher in the RAM + ERL arm', 'rate of grade ≥ 3 hepatic events similar in both treatment arms', 'dose adjustments for ramucirumab alone due to hepatic events were higher than for placebo alone adjustments', 'similar rate of dose adjustments for erlotinib in the RAM + ERL and PBO + ERL arms (19 vs. 17%)', '< 1% of patients', 'grade ≥ 3 infections: 17% with RAM + ERL, 7% with PBO + ERL', 'pneumonia: 3% with RAM+ERL, 0% with PBO + ERL', 'SAEs of lower respiratory tract infections: 9 (4%) in RAM + ERL arm, 2 (1%) in PBO + ERL arm', 'Infections, skin reactions of rash and dermatitis acneiform, diarrhea, interstitial lung disease (ILD), and paronychia', 'dermatitis acneiform (15 vs. 9%), diarrhea (7 vs. 1%)', 'dermatitis acneiform (12% in RAM+ERL arm, 7% in PBO + ERL arm)', 'diarrhea (4% in RAM+ERL arm, 1% in PBO + ERL arm)', 'Dermatitis acneiform did not lead to any study drug discontinuation', 'Two patients in the RAM + ERL arm discontinued erlotinib because of grade 2 ALT increased and grade 3 diarrhea, respectively.', 'One patient in the PBO + ERL arm discontinued erlotinib because of grade 2 rash pustular.', 'Any-grade and grade ≥ 3 ILD were reported in four (1.8%) patients and one (0.5%) patient in the RAM + ERL arm and seven (3.1%) and three (1.3%) patients in the PBO + ERL arm, respectively.', 'One patient in the PBO + ERL arm experienced a grade 5 ILD event that occurred 30 days after discontinuation of study treatment and was assessed by the investigator as related to study treatment.', 'Two patients (0.9%) discontinued all study treatment because of ILD in the PBO + ERL arm.', 'Two patients in the PBO + ERL arm and one patient in the RAM + ERL arm discontinued ERL alone because of ILD.', 'any grade: 85% (RAM+ERL) vs 71% (PBO + ERL); grade ≥ 3: 43% (RAM+ERL) vs 31% (PBO + ERL)', '13 vs. 11% for RAM + ERL vs. PBO + ERL; AEs leading to all study treatment discontinuation in two or more patients in the RAM + ERL arm included ALT increased, paronychia, dermatitis acneiform, and proteinuria; higher percentage of patients discontinued ramucirumab alone (33%) because of AEs than did so for placebo alone (15%); most common AEs leading to ramucirumab discontinuation were proteinuria, decreased platelet count, and neutropenia; incidence of AEs leading to discontinuation of erlotinib alone was low and similar between treatment arms', 'grade ≥ 3 AEs and SAEs were higher in patients aged ≥ 70 than < 70 years', 'grade ≥ 3 hypertension, diarrhea, and ALT increased occurred with a ≥ 5% higher incidence in patients aged ≥ 70 than in those aged < 70 years', 'in patients aged ≥ 70 years, grade ≥ 3 hypertension and diarrhea occurred at a higher incidence in the RAM + ERL arm than in the PBO + ERL arm', 'in patients aged < 70 years, only hypertension occurred at a higher incidence in the RAM + ERL versus PBO + ERL arm', 'grade 4 AEs: 8% in patients aged ≥ 70 years, 3% in those aged < 70 years; grade 5 AE: all five cases were in the RAM + ERL arm and occurred in patients aged < 70 years', 'Proteinuria', 'No other differences of note were identified in terms of AE profile between treatment arms between patients aged < 70 and patients aged ≥ 70 years.', 'incidence of grade ≥ 3 AEs similar among Asian and non-Asian groups in RAM + ERL arm, lower in Asian group in PBO + ERL arm', 'dermatitis acneiform', 'Grade ≥ 3 ALT increased: 9% in Asian group, 2% in non-Asian group', 'ILD: similar incidence across race and treatment arm; Grade ≥ 3 ILD events reported only in Asian patients regardless of treatment arm; no grade 4 events', 'Incidence of grade 5 AEs was similar between Asian and non-Asian race groups (3 vs. 2%) in the RAM + ERL arm, with none in the PBO + ERL arm.', 'A higher percentage of Asian patients discontinued ramucirumab and placebo alone compared with non-Asian patients.', 'Proteinuria was the most common AE leading to discontinuation of ramucirumab in both Asian and non-Asian patients.', 'No other differences of note were identified in terms of AE profile between treatment arms between Asian and non-Asian patients.', '30% of patients hospitalized due to AEs in RAM + ERL arm compared to 20% in PBO + ERL arm', 'hypertension (69 vs. 42%)', 'stomatitis (42 vs. 36%)', 'mucosal inflammation (6 vs. 3%)', 'pyrexia (21 vs. 12%)'], 'Clinical laboratory assessments': ['proteinuria associated with peripheral edema', 'proteinuria associated with hypertension', 'no association found between proteinuria and renal failure', 'one patient in the RAM + ERL arm discontinued erlotinib because of grade 2 ALT increased'], 'Progression-free survival (PFS)': ['20.8 months (95% CI 17.8–22.2)', '13.9 months (95% CI 12.4–19.3)', '22.1 months (95% CI 19.4–28.1) for RAM + ERL arm, 12.6 months (95% CI 9.6–19.2) for PBO + ERL arm']}"
34922298,"['Objective response rate', 'Progression-free survival (PFS)', 'Overall survival', 'Grade ≥3 treatment-emergent adverse events']","['Clinical', 'Mortality', 'Mortality', 'Adverse Event']","{'Objective response rate': [], 'Progression-free survival (PFS)': ['2.83 months vs 2.79 months; HR, 0.90; 95% CI 0.60-1.37; P = 0.63', ""{'HR': 0.59, 'Female patients': 'median, 4.1 versus 2.8 months'}"", ""{'HR': 0.55, 'Gallbladder cancer': 'median, 2.9 versus 1.6 months'}""], 'Overall survival': ['7.8 months vs 7.5 months; HR, 1.11; 95% CI 0.69-1.79; P = 0.66'], 'Grade ≥3 treatment-emergent adverse events': ['65.6% versus 58.7%']}"
34921934,"['adherence to recommendations', 'health-related quality of life']","['Life impact', 'Life impact']","{'adherence to recommendations': ['more likely to receive adjuvant medications for neuropathic pain (28.6 vs. 3.8%, p=0.002)', 'sustained-release opioids for constant pain (47.1 vs 29.2%, p=0.05)', 'psychiatry referral for moderate-severe anxiety (64.3 vs 22.2%, p=0.03)', 'opioids for severe dyspnea (92.3 vs 55.6%, p=0.02)', 'stimulant for severe fatigue (34.4 vs. 10%, p=0.002)', 'social work referrals for mild depression (20.3 vs. 10%, p=0.08) were marginally significant'], 'health-related quality of life': ['did not differ significantly', 'correlated outcomes (specifically, in the lung cancer subscale and PWB) at 6 months than they have at either 2 or 4 months', 'FWB and TOI show a more stable, very low, level of intra-cluster correlation across timepoints']}"
34921525,"['Pathological complete response (pCR)', 'Event-free survival (EFS)']","['Clinical', 'Mortality']","{'Event-free survival (EFS)': ['significantly associated', 'confirmed', 'HR miR‐153‐3p: 1.83, 95% CI: 1.34–2.50; HR miR‐219a‐5p: 0.629, 95% CI: 0.51–0.79', 'main driver in NeoALTTO and other neoadjuvant studies'], 'Pathological complete response (pCR)': ['miR‐215‐5p (p.interaction: 0.017), miR‐30c‐2‐3p (p.interaction: 0.038)', 'highest prognostic performance', 'hsa-miR-31-3p, OR 0.70, 95% CI: 0.53–0.92; hsa-miR-382-3p, OR 1.39, 95% CI: 1.01–1.91']}"
34914845,"['insomnia severity', 'sleep quality', 'sleep diaries', 'fatigue']","['Clinical', 'Life impact', 'Clinical', 'Clinical']","{'insomnia severity': ['significantly greater for survivors in the SSP (vs. EUC)', 'large (d = 1.19) at T1', 'greater at T2 (d = 1.27)', 'small and did not differ by condition'], 'fatigue': ['interference from late effects of cancer treatments'], 'sleep quality': ['significantly greater for survivors in the SSP (vs. EUC)', 'moderately large (d = .74) at T1', 'greater at T2 (d = .83)', 'did not change significantly from T1 - T2']}"
34914339,"['invasive disease-free survival', 'distant relapse-free survival']","['Clinical', 'Mortality']","{'invasive disease-free survival': ['481 events', '58% of total expected events', 'Overall invasive disease–free survival at 5 years was 91.6%. Invasive disease–free survival at 5 years was 92.2% among participants in the chemoendocrine group, as compared with 91.0% among those in the endocrine-only group (P = 0.10 by the log-rank test)', 'longer', 'P = 0.008', 'among premenopausal women who received chemotherapy, hazard ratio is 0.53 (95% CI, 0.37 to 0.75; P<0.001)', ""{'chemoendocrine group (recurrence score 10 or lower)': '+4.2 percentage points', 'chemoendocrine group (recurrence score 11-15)': '+2.2 percentage points', 'chemoendocrine group (recurrence score 16-20)': '+7.7 percentage points', 'chemoendocrine group (recurrence score 21-25)': '+7.2 percentage points', 'chemoendocrine therapy vs endocrine therapy only (premenopausal women, recurrence scores 0-25)': 'superior', 'chemoendocrine therapy vs endocrine therapy only (premenopausal women ≤50 years, recurrence score categories)': '+6.9 percentage points, +2.3 percentage points, +7.1 percentage points, +10.0 percentage points'}""], 'distant relapse-free survival': []}"
34912120,"['tumour size', 'complete responses', 'objective response rate']","['Clinical', 'Clinical', 'Clinical']",{}
34912072,"['Weight and body fat change', 'Chemotherapy toxicity', 'Cardiovascular risk markers', 'Markers of metabolism, inflammation, and oxidative stress']","['Clinical', 'Adverse Event', 'Clinical', 'Clinical']","{'Weight and body fat change': ['No patients reduced BMI to <19 kg/m2', '169 women measured at baseline, 159 post-chemotherapy (145 at MFT, 14 using post-chemotherapy weights in breast units)', '-1.1 (-2.4 to +0.2) kg, p = 0.11', '-1.0 (-2.1 to +0.1) kg, p = 0.086', '-1.4 (-2.5 to -0.2) kg, p = 0.024', '-1.1 (-2.1 to -0.2) kg, p = 0.046', '49.2% IER lost weight, 32.7% CER lost weight, 31.2% IER maintained weight, 49.6% CER maintained weight, 19.5% IER gained weight, 17.6% CER gained weight; p = 0.040', '-0.193 (-0.388 to +0.002)'], 'Chemotherapy toxicity': ['Grade 3/4 toxicities were reported in 31% of the IER and 36.5% of the CER groups across cycles 1–6 (p = 0.45),', '21.4% vs 15.3% during cycles 1–3 (p = 0.30) and 17.9% vs 30% in cycles 4–6 (p = 0.063)', 'A secondary analysis including patients receiving taxane therapy during cycles 4–6 reported grade 3/4 toxicity in 14/82 (17.3%) IER and 24/77 (31.2% CER) (p = 0.037)', 'smaller reduction in FLT3 level (p = 0.033)'], 'Cardiovascular risk markers': ['reduced systolic blood pressure', 'maintained FEV1 and hand-grip strength', 'CRP', 'uric acid'], 'Markers of metabolism, inflammation, and oxidative stress': ['adiponectin', 'IGF-IR', 'leptin receptor', 'insulin receptor', 'PON1', 'AOPP:total protein ratio']}"
34910390,"['locoregional control rates', 'overall recurrence rate (7.8%)', 'locoregional recurrences (6.0% of patients)', 'disease-related death (0.9% of patients)']","['Clinical', 'Clinical', 'Adverse Event', 'Mortality']","{'overall recurrence rate (7.8%)': ['postoperative complications Clavien-Dindo grades ≥ II (25.8%)'], 'locoregional recurrences (6.0% of patients)': ['pelvic recurrence (1/4, 25%, 22 months post-surgery)'], 'disease-related death (0.9% of patients)': ['Two of the complications occurring in our collective (1.7%) were grade IIIb', 'One patient suffered myocardial infarction on the first postoperative day and cerebral infarction 2 days later.', 'Another patient died of cardiac arrest 4 weeks after surgery.']}"
34903242,"['total hospital expenses (THE)', 'length of stay (LOS)']","['Resource use', 'Resource use']","{'total hospital expenses (THE)': ['12520.54 ± 7844.88 ¥ (US$ 1929.20 ± 1208.11)', 'P < 0.01', 'significantly associated', 'P < 0.001'], 'length of stay (LOS)': ['4.86 ± 3.83 days', 'significantly associated', 'relative importance: 0.47']}"
34893523,"['objective response rate (ORR)', 'progression-free survival (PFS)', 'overall survival (OS)', 'adverse events (AEs)', 'Programmed cell death ligand 1', 'interferon-γ (IFN)', 'intratumoral CD8+ cell density', 'epithelial-to-mesenchymal gene signature', 'transforming growth factor (TGF)-β fibrosis score', 'GRB7', 'Human epidermal growth factor receptor 2 (HER2)-positive disease', 'tumor mutation burden (TMB)']","['Clinical', 'Mortality', 'Mortality', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'None', 'Clinical', 'Clinical']","{'overall survival (OS)': ['28.4 (0.39–34.3)', '7.1 months (95% CI 4.8 to NR) in the ADX+NIVO arm', '5.9 months (95% CI 3.5 to 10.9 months) with NIVO alone', 'HR 1.24 (95% CI 0.49 to 1.26), p=0.23', '7.10 months', 'TC+IC: 8.1 months vs 4.5 months; TC: 10.1 months vs 6.9 months', 'median OS rate was 11.1 months for patients with TMB at median or higher', 'compared to 4.8 months for those with TMB less than the median (p=0.0025)'], 'progression-free survival (PFS)': ['23.0 (0.3–28.7)', 'no improvement in PFS with the addition of ADX to NIVO', 'HR 1.33, 95% CI 0.94 to 1.88), p=0.10', '1.8 months', 'no difference in median PFS (TC+IC: 1.9 months vs 1.8 months; TC: 1.8 months vs 1.9 months)', 'median PFS rate was 1.9 months for patients with TMB at median or higher', 'compared to 1.8 months for those with TMB less than the median (p=0.016)'], 'objective response rate (ORR)': ['10% (4% to 19%)', '7% (2% to 16%)'], 'adverse events (AEs)': ['Overall AEs comparable in both arms', 'Fatigue: ~20% G2 or higher in each arm', 'Decreased appetite: 18.3% G2 or higher ADX+NIVO, 14.3% NIVO', 'Nausea: 19.7%, 14.3%', 'Vomiting: 18.4%, 7.2%', 'Grade ≥3 AEs: 66% overall; most common were anemia and abdominal pain', 'Serious AEs: 59% ADX+NIVO, 54% NIVO-alone'], 'intratumoral CD8+ cell density': ['443% vs 170%; p=0.051', '231% vs 32%; p=0.03', 'greater increase'], 'epithelial-to-mesenchymal gene signature': ['not accompanied by increased'], 'Human epidermal growth factor receptor 2 (HER2)-positive disease': ['93% of patients were previously treated with trastuzumab'], 'tumor mutation burden (TMB)': ['median TMB was 2.01 mutations per megabase (muts/Mb)', 'Patients with TMB at median or higher had median OS and PFS rates of 11.1 months (HR 0.40, p<0.01) and 1.9 months (HR 0.43, p=0.013), respectively']}"
